id	version	filename	url
TS 100 392-2	3.10.1	ts_10039202v031001p	https://www.etsi.org/deliver/etsi_ts/100300_100399/10039202/03.10.01_60/ts_10039202v031001p.pdf
EN 300 392-12-3	1.3.1	en_3003921203v010301p	https://www.etsi.org/deliver/etsi_en/300300_300399/3003921203/01.03.01_60/en_3003921203v010301p.pdf
EN 300 392-7	3.5.1	en_30039207v030501p	https://www.etsi.org/deliver/etsi_en/300300_300399/30039207/03.05.01_60/en_30039207v030501p.pdf
TS 100 392-15	1.4.1	ts_10039215v010401p	https://www.etsi.org/deliver/etsi_ts/100300_100399/10039215/01.04.01_60/ts_10039215v010401p.pdf
EN 300 392-1	1.2.1	en_30039201v010201p	https://www.etsi.org/deliver/etsi_en/300300_300399/30039201/01.02.01_60/en_30039201v010201p.pdf
